playerId,player,team,playerposition,age,exp,bye,points,lower,upper,depth chart,2017projection,Insystem,QB_status,Support_status,News_analysts
2533040,Mohamed Sanu,ATL,WR,28,5,5,96.02161314,81.04087066,105.9767467,,,,,,
2543475,Marqise Lee,JAC,WR,26,3,8,95.06882923,54.22351352,121.699084,,,,,,
2507463,Connor Barth,CHI,K,31,9,9,109.6605905,92.8,121.3627251,,,,,,
2557856,O.J. Howard,TB,TE,23,0,11,71.34971803,22.027,99.4309475,,,,,,
2557848,Corey Davis,TEN,WR,22,0,8,94.16158049,36.15,120.0370253,,,,,,
100024,Jets,NYJ,DST,NA,NA,11,146.373797,60,104.0038692,,,,,,
2550325,Chandler Catanzaro,NYJ,K,26,3,11,109.1798299,96.76283912,117.1893564,,,,,,
2555259,Carson Wentz,PHI,QB,25,1,10,218.6095173,157.6246,244.243219,,,,,,
2553743,Rod Smith,DAL,RB,NA,NA,6,2.233950617,0,3.358176292,4,,,,,
2550400,Keith Smith,DAL,RB,25,3,6,0.739784946,0,1.253953488,4,,,,,
2505245,Carson Palmer,ARI,QB,38,14,8,218.3696176,189.9614,232.793353,,,,,,
2533437,Ronnie Hillman,DAL,RB,26,5,6,0,0,0,4,,,,,
2535698,Cole Beasley,DAL,WR,28,5,6,92.41686093,73.72415638,100.6650132,,,,,,
2505996,Eli Manning,NYG,QB,36,13,8,217.3935438,152.8188,233.3739095,,,,,,
2552597,Breshad Perriman,BAL,WR,24,2,10,92.01979322,46.11318244,128.576979,,,,,,
2540269,C.J. Anderson,DEN,RB,26,4,5,143.435319,120.3311853,168.9492533,1,,,,,
2552430,Tyler Lockett,SEA,WR,25,2,6,91.93528276,65.66369664,112.302255,,,,,,
2506340,Alex Smith,KC,QB,33,12,10,216.8323714,197.54,239.4699705,,,,,,
2540169,Robert Woods,LAR,WR,25,4,9,91.24350685,70.11215917,102.9376813,,,,,,
2506264,Robbie Gould,SF,K,35,12,11,106.4964704,92,113.7918338,,,,,,
2550353,Allen Hurns,JAC,WR,26,3,8,90.57885054,75.76497611,101.4901765,,,,,,
100032,Redskins,WAS,DST,NA,NA,5,142.5282691,10,106.3828692,,,,,,
238457,Zach Miller,CHI,TE,33,8,9,66.05584047,44.82707819,87.40115578,,,,,,
